review_id,product_id,reviewer_name,rating,review_text,timestamp,account_age_days,reviewer_total_reviews,reviewer_brand_concentration,is_fake
286,P014,Vignesh10,4,"Not bad, does what it says. material quality is average.",2025-02-04 21:00:00,375,23,0.24,0
297,P015,Divya77,5,Good value overall. The screen could be better but I'm satisfied.,2025-02-27 08:00:00,1433,16,0.29,0
118,P005,shopper809176,5,"Best charger ever!!! Amazing quality, super fast delivery, highly recommend to everyone!!!",2025-08-10 00:14:00,1,24,0.96,1
347,P018,Sneha58,5,"Took a while to get used to it, but now I like the bluetooth speaker.",2025-10-05 13:00:00,307,18,0.21,0
71,P003,deal912270,5,"This blender is absolutely perfect in every single way, no complaints at all!!!",2025-08-20 00:05:00,8,56,0.89,1
31,P001,Anitha11,5,Good value overall. The battery life could be better but I'm satisfied.,2025-08-20 18:00:00,564,19,0.32,0
193,P010,Divya17,4,"I've been using this shoes for a month now, mixed feelings about the battery life.",2025-06-17 02:00:00,981,15,0.36,0
80,P003,user973074,5,"Amazing watch, changed my life, will buy again, best purchase ever!!!",2025-08-20 00:18:00,8,53,0.89,1
407,P021,customer156688,5,"Wow just wow, perfect blender, perfect packaging, perfect everything, 5 stars!!!",2025-11-19 00:03:00,10,39,0.93,1
357,P019,Arun36,5,"Works fine for basic use, wouldn't recommend for heavy use though.",2025-07-23 05:00:00,113,11,0.32,0
56,P003,Suresh63,4,"Took a while to get used to it, but now I like the backpack.",2025-10-20 07:00:00,1780,21,0.17,0
149,P007,Karthik80,5,Packaging was damaged but the keyboard itself was fine.,2025-11-21 03:00:00,889,1,0.48,0
370,P020,Priya10,5,"I've been using this blender for a month now, mixed feelings about the stitching.",2025-04-09 01:00:00,663,1,0.19,0
313,P015,buyer828449,5,"This shoes is absolutely perfect in every single way, no complaints at all!!!",2025-04-24 00:02:00,10,20,0.91,1
395,P021,Arun61,5,"Not bad, does what it says. stitching quality is average.",2025-05-14 00:00:00,1830,25,0.49,0
